company_name,ticker,total_meetings_2020_plus,total_disagreements
amazon.com inc,AMZN,6,29
meta platforms inc,META,6,36
taiwan semiconductor manufacturing co ltd,2330,11,12
tesla inc,TSLA,6,29
eli lilly & co,LLY,6,13
jpmorgan chase & co,JPM,6,14
tencent holdings ltd,700,9,1
procter & gamble co/the,500126,11,1
home depot inc/the,HD,6,16
netflix inc,NFLX,6,15
alibaba group holding ltd,9988,12,4
johnson & johnson,JNJ,6,8
samsung electronics co ltd,005930,7,0
digital realty trust inc,DLR,7,3
salesforce inc,CRM,6,5
nextera energy inc,NEE,6,8
merck & co inc,MRK,6,12
coca-cola co/the,KO,6,20
wells fargo & co,WFC,6,8
cisco systems inc,CSCO,5,14
advanced micro devices inc,AMD,7,12
pepsico inc,PEP,6,16
servicenow inc,NOW,7,10
intuitive surgical inc,ISRG,7,5
walt disney co/the,DIS,6,40
blackrock inc,BLK,6,6
sanofi sa,500674,15,4
caterpillar inc,CAT,6,15
mitsubishi ufj financial group inc,8306,6,8
simon property group inc,SPG,6,2
bhp group ltd,BHP,7,0
progressive corp/the,PGR,6,0
at&t inc,T,6,7
lowe's cos inc,LOW,6,8
t-mobile us inc,TMUS,6,2
analog devices inc,ADI,7,5
cie financiere richemont sa,CFR,15,24
gilead sciences inc,GILD,6,12
sk hynix inc,000660,6,0
recruit holdings co ltd,6098,6,0
palantir technologies inc,PLTR,5,0
tjx cos inc/the,TJX,6,6
alexandria real estate equities inc,ARE,6,1
sumitomo mitsui financial group inc,8309,6,2
goldman sachs group inc/the,GS,6,19
applied materials inc,AMAT,6,1
avalonbay communities inc,AVB,6,1
uber technologies inc,UBER,6,6
aia group ltd,1299,6,0
eaton corp plc,ETN,6,5
tokio marine holdings inc,8766,6,0
icici bank ltd,532174,11,0
micron technology inc,MU,6,1
fiserv inc,FI,6,9
kkr & co inc,KREF,0,0
arthur j gallagher & co,AJG,6,6
apollo global management inc,APO,6,5
arista networks inc,ANET,6,3
shin-etsu chemical co ltd,7970,6,1
sherwin-williams co/the,SHW,6,6
pnc financial services group inc/the,PNC,6,6
udr inc,UDR,6,2
charles schwab corp/the,SCHW,7,10
nintendo co ltd,7974,6,0
sompo holdings inc,8630,6,1
deere & co,DE,6,6
marsh & mclennan cos inc,MMC,6,0
cadence design systems inc,CDNS,6,3
mizuho financial group inc,8411,6,4
elevance health inc,ELV,6,2
mediatek inc,2454,6,16
intercontinental exchange inc,ICE,6,2
bharti airtel ltd,544162,4,0
anz group holdings ltd,ANZ,7,0
chubb ltd,CB,7,20
bank of new york mellon corp/the,BK,6,0
nike inc,NKE,6,11
marvell technology inc,MRVL,7,7
fast retailing co ltd,9983,6,0
mondelez international inc,MDLZ,6,14
chipotle mexican grill inc,CMG,6,16
crowdstrike holdings inc,CRWD,5,2
ge vernova inc,GEV,1,0
paypal holdings inc,PYPL,6,7
motorola solutions inc,MSI,6,10
united parcel service inc,UPS,6,19
equinix inc,3811,0,0
hon hai precision industry co ltd,2317,5,15
mitsui & co ltd,8031,6,0
charter communications inc,CHTR,8,37
infosys ltd,500209,12,0
muenchener rueckversicherungs-gesellschaft ag in muenchen,MUV2,6,0
waste management inc,WM,6,1
toronto-dominion bank/the,TD,6,10
moody's corp,MCO,6,0
palo alto networks inc,PANW,6,10
graphic packaging holding co,GPK,6,1
rakuten bank ltd,5838,2,1
api group corp,APG,5,9
glaukos corp,GKOS,6,2
willscot holdings corp,WSC,6,2
ltimindtree ltd,540005,7,0
intermediate capital group plc,ICG,6,0
