company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
acerinox sa,ACX,Spain,2020-10-21 00:00:00,1471725,Annual,9,"Authorize Issuance of Convertible Bonds, Debentures, Warrants, and Other Debt Securities without Preemptive Rights up to EUR 3 Billion",Management,For,Against,Position paper: Shareholder rights in equity issuances,Existing shareholders should have the right to approve share issuances in order to prevent the dilution of ownership without their prior consent. Existing shareholders should have the right to participate pro rata to maintain their voting share and benefit from any discount offered. The approval for a general authority should be reasonably close in time to the intended capital allocation to allow for an informed voting decision.,G,,G
air liquide sa,AI,France,2021-05-04 00:00:00,1504230,Annual/Special,8,Elect Bertrand Dumazy as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
albemarle corp,ALB,United States,2025-05-06 00:00:00,1946039,Annual,1c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
albemarle corp,ALB,United States,2025-05-06 00:00:00,1946039,Annual,4,Adopt Simple Majority Vote,Shareholder,Against,For,,"Anti-takeover measures are generally not in the interest of shareholders, and the introduction of such measures should, at a minimum, be subject to shareholder approval. We define anti-takeover measures to include any mechanism likely to deter or frustrate takeovers.",,ESG_ambiguous,ESG_ambiguous
albemarle corp,ALB,United States,2024-05-07 00:00:00,1839554,Annual,1c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
albemarle corp,ALB,United States,2023-05-02 00:00:00,1731619,Annual,1c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
albemarle corp,ALB,United States,2022-05-03 00:00:00,1623793,Annual,2c,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
albemarle corp,ALB,United States,2021-05-04 00:00:00,1520712,Annual,2b,"Elect Director J. Kent Masters, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
albemarle corp,ALB,United States,2020-05-05 00:00:00,1411329,Annual,2c,Elect Director J. Kent Masters,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
alcoa corp,AA,United States,2024-05-10 00:00:00,1836760,Annual,4,Report on Lobbying Payments and Policy,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
alcoa corp,AA,United States,2021-05-06 00:00:00,1519377,Annual,4,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,ESG_ambiguous,ESG_ambiguous
alcoa corp,AA,United States,2020-05-06 00:00:00,1409572,Annual,4,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,ESG_ambiguous,ESG_ambiguous
alpek sab de cv,ALPEKA,Mexico,2020-02-27 00:00:00,1394676,Annual,3,Elect Directors and Chairmen of Audit and Corporate Practices Committee; Fix Their Remuneration,Management,For,Against,,,,G,G
antofagasta plc,ANTO,United Kingdom,2025-05-08 00:00:00,1945778,Annual,8,Re-elect Andronico Luksic as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
aperam sa,APAM,Luxembourg,2025-05-06 00:00:00,1950475,Annual,VIII,Reelect Lakshmi N. Mittal as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
aperam sa,APAM,Luxembourg,2022-05-04 00:00:00,1630839,Annual/Special,IX,Elect Lakshmi N. Mittal as Director,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
arcelormittal sa,MT,Luxembourg,2024-04-30 00:00:00,1841853,Annual,VII,Approve Discharge of Directors,Management,For,Against,Position paper: Corporate sustainability reporting,"We will not support the re-election of a director, or the entire board, if the company has experienced material failures in the oversight, management or disclosure of social risks.",ESG_mixed,G,G
arcelormittal sa,MT,Luxembourg,2024-04-30 00:00:00,1841853,Annual,VIII,Reelect Karyn Ovelmen as Director,Management,For,Against,Position paper: Corporate sustainability reporting,"We will not support the re-election of a director, or the entire board, if the company has experienced material failures in the oversight, management or disclosure of social risks.",ESG_mixed,G,G
arcelormittal sa,MT,Luxembourg,2024-04-30 00:00:00,1841853,Annual,IX,Reelect Clarissa Lins as Director,Management,For,Against,Position paper: Corporate sustainability reporting,"We will not support the re-election of a director, or the entire board, if the company has experienced material failures in the oversight, management or disclosure of social risks.",ESG_mixed,G,G
arcelormittal sa,MT,Luxembourg,2020-06-13 00:00:00,1393551,Annual/Special,IX,Reelect Lakshmi N. Mittal as Director,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
avery dennison corp,AVY,United States,2023-04-27 00:00:00,1726350,Annual,1c,Elect Director Mitchell R. Butier,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
avery dennison corp,AVY,United States,2022-04-28 00:00:00,1618798,Annual,1c,Elect Director Mitchell R. Butier,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
avery dennison corp,AVY,United States,2021-04-22 00:00:00,1512259,Annual,1d,Elect Director Mitchell R. Butier,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
avery dennison corp,AVY,United States,2020-04-23 00:00:00,1403880,Annual,1e,Elect Director Mitchell R. Butier,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
capstone copper corp,CS,Canada,2024-05-03 00:00:00,1820765,Annual/Special,5,Re-approve Treasury Share Unit Plan,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
carpenter technology corp,CRS,United States,2021-10-12 00:00:00,1579203,Annual,1.3,Elect Director Jeffrey Wadsworth,Management,For,Withhold,Position paper: Corporate sustainability reporting,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",ESG_mixed,G,G
celanese corp,CE,United States,2025-05-14 00:00:00,1944144,Annual,5,Adopt Simple Majority Vote,Shareholder,Against,For,,"Anti-takeover measures are generally not in the interest of shareholders, and the introduction of such measures should, at a minimum, be subject to shareholder approval. We define anti-takeover measures to include any mechanism likely to deter or frustrate takeovers.",,ESG_ambiguous,ESG_ambiguous
celanese corp,CE,United States,2024-05-13 00:00:00,1837734,Annual,1j,Elect Director Lori J. Ryerkerk,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
celanese corp,CE,United States,2023-04-20 00:00:00,1726035,Annual,1j,Elect Director Lori J. Ryerkerk,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
celanese corp,CE,United States,2022-04-20 00:00:00,1618540,Annual,1k,Elect Director Lori J. Ryerkerk,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
celanese corp,CE,United States,2021-04-15 00:00:00,1512083,Annual,1i,Elect Director Lori J. Ryerkerk,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2025-05-15 00:00:00,1949658,Annual,1.1,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2024-05-16 00:00:00,1844485,Annual,1.1,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2023-05-17 00:00:00,1738666,Annual,1.1,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2022-04-27 00:00:00,1620453,Annual,1.1,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2021-04-28 00:00:00,1516917,Annual,1.1,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2021-04-28 00:00:00,1516917,Annual,5,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
cleveland-cliffs inc,CLF,United States,2020-04-22 00:00:00,1404855,Annual,1d,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2020-04-22 00:00:00,1404855,Annual,2c,Elect Director Lourenco Goncalves,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
cleveland-cliffs inc,CLF,United States,2020-04-22 00:00:00,1404855,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
dow inc,DOW,United States,2025-04-10 00:00:00,1933641,Annual,1h,Elect Director Jim Fitterling,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2024-04-11 00:00:00,1828581,Annual,1h,Elect Director Jim Fitterling,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2024-04-11 00:00:00,1828581,Annual,4,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,ESG_ambiguous,ESG_ambiguous
dow inc,DOW,United States,2023-04-13 00:00:00,1723102,Annual,1h,Elect Director Jim Fitterling,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2023-04-13 00:00:00,1723102,Annual,4,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2022-04-14 00:00:00,1616171,Annual,1h,Elect Director Jim Fitterling,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2022-04-14 00:00:00,1616171,Annual,4,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2021-04-15 00:00:00,1512260,Annual,1g,Elect Director Jim Fitterling,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
dow inc,DOW,United States,2021-04-15 00:00:00,1512260,Annual,6,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,ESG_ambiguous,ESG_ambiguous
dow inc,DOW,United States,2020-04-09 00:00:00,1400785,Annual,1h,Elect Director Jim Fitterling,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2025-05-01 00:00:00,1943549,Annual,1.4,Elect Director Mark J. Costa,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2025-05-01 00:00:00,1943549,Annual,4,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
