company,ticker,error
novo nordisk a/s,,No data returned
dsv a/s,,No data returned
holcim ag,,No data returned
anheuser-busch inbev sa/nv,,No data returned
blackstone inc,,No data returned
bxp inc,,No data returned
roper technologies inc,,No data returned
prologis inc,,No data returned
honda motor co ltd,,No data returned
national australia bank ltd,,No data returned
kinder morgan inc,,No data returned
air products and chemicals inc,,No data returned
canadian pacific kansas city ltd,,No data returned
sun communities inc,,No data returned
hong kong exchanges & clearing ltd,,No data returned
constellation software inc/canada,,No data returned
trip.com group ltd,,No data returned
o'reilly automotive inc,,No data returned
cigna group/the,,No data returned
e.on se,,No data returned
mitsubishi heavy industries ltd,,No data returned
daiichi sankyo co ltd,,No data returned
southern co/the,,No data returned
hca healthcare inc,,No data returned
wesfarmers ltd,,No data returned
autozone inc,,No data returned
mid-america apartment communities inc,,No data returned
teva pharmaceutical industries ltd,,No data returned
host hotels & resorts inc,,No data returned
seven & i holdings co ltd,,No data returned
regeneron pharmaceuticals inc,,No data returned
takeda pharmaceutical co ltd,,No data returned
us bancorp,,No data returned
zoom communications inc,,No data returned
schlumberger nv,,No data returned
becton dickinson & co,,No data returned
metlife inc,,No data returned
united rentals inc,,No data returned
fortinet inc,,No data returned
american international group inc,,No data returned
orsted as,,No data returned
jd.com inc,,No data returned
cie de saint-gobain sa,,No data returned
royal caribbean cruises ltd,,No data returned
bank central asia tbk pt,,No data returned
copart inc,,No data returned
industrial & commercial bank of china ltd,,No data returned
ametek inc,,No data returned
novonesis (novozymes) b,,No data returned
lineage inc,,No data returned
waste connections inc,,No data returned
ameriprise financial inc,,No data returned
bank of nova scotia/the,,No data returned
cie generale des etablissements michelin sca,,No data returned
danske bank a/s,,No data returned
expedia group inc,,No data returned
equitable holdings inc,,No data returned
china merchants bank co ltd,,No data returned
nxp semiconductors nv,,No data returned
byd co ltd,,No data returned
autodesk inc,,No data returned
ross stores inc,,No data returned
workday inc,,No data returned
fidelity national information services inc,,No data returned
ansys inc,,No data returned
axis bank ltd,,No data returned
cheniere energy inc,,No data returned
block inc,,No data returned
agnico eagle mines ltd,,No data returned
doordash inc,,No data returned
kroger co/the,,No data returned
dr horton inc,,No data returned
pg&e corp,,No data returned
oversea-chinese banking corp ltd,,No data returned
alnylam pharmaceuticals inc,,No data returned
synopsys inc,,No data returned
marriott international inc/md,,No data returned
williams cos inc/the,,No data returned
contemporary amperex technology co ltd,,No data returned
nippon telegraph & telephone corp,,No data returned
travelers cos inc/the,,No data returned
republic services inc,,No data returned
quanta services inc,,No data returned
sun pharmaceutical industries ltd,,No data returned
varun beverages ltd,,No data returned
murata manufacturing co ltd,,No data returned
coinbase global inc,,No data returned
trade desk inc/the,,No data returned
tyler technologies inc,,No data returned
oneok inc,,No data returned
mahindra & mahindra ltd,,No data returned
mercadolibre inc,,No data returned
ww grainger inc,,No data returned
verisk analytics inc,,No data returned
cbre group inc,,No data returned
general mills inc,,No data returned
take-two interactive software inc,,No data returned
monolithic power systems inc,,No data returned
old dominion freight line inc,,No data returned
datadog inc,,No data returned
everest group ltd,,No data returned
axon enterprise inc,,No data returned
ge healthcare technologies inc,,No data returned
americold realty trust inc,,No data returned
willis towers watson plc,,No data returned
akamai technologies inc,,No data returned
full truck alliance co ltd,,No data returned
teck resources ltd,,No data returned
cencora inc,,No data returned
essex property trust inc,,No data returned
ppg industries inc,,No data returned
dominion energy inc,,No data returned
ping an insurance group co of china ltd,,No data returned
new oriental education & technology group inc,,No data returned
kotak mahindra bank ltd,,No data returned
dai-ichi life holdings inc,,No data returned
gartner inc,,No data returned
nu holdings ltd/cayman islands,,No data returned
agilent technologies inc,,No data returned
international flavors & fragrances inc,,No data returned
aristocrat leisure ltd,,No data returned
entegris inc,,No data returned
chocoladefabriken lindt & spruengli ag,,No data returned
shiseido co ltd,,No data returned
unite group plc/the,,No data returned
constellation brands inc,,No data returned
fresenius se & co kgaa,,No data returned
tata consultancy services ltd,,No data returned
automatic data processing inc,,No data returned
netease inc,,No data returned
dr ing hc f porsche ag,,No data returned
coupang inc,,No data returned
mitsui fudosan co ltd,,No data returned
sandvik ab,,No data returned
bank of china ltd,,No data returned
meritz financial group inc,,No data returned
pultegroup inc,,No data returned
airbnb inc,,No data returned
carmax inc,,No data returned
nasdaq inc,,No data returned
henkel ag & co kgaa,,No data returned
hubspot inc,,No data returned
yum! brands inc,,No data returned
hartford financial services group inc/the,,No data returned
idexx laboratories inc,,No data returned
costar group inc,,No data returned
macquarie group ltd,,No data returned
chugai pharmaceutical co ltd,,No data returned
consolidated edison inc,,No data returned
cipla ltd/india,,No data returned
national bank of kuwait sakp,,No data returned
sk square co ltd,,No data returned
kb financial group inc,,No data returned
dexcom inc,,No data returned
woolworths group ltd,,No data returned
boc hong kong holdings ltd,,No data returned
ms&ad insurance group holdings inc,,No data returned
shinhan financial group co ltd,,No data returned
smith & nephew plc,,No data returned
resona holdings inc,,No data returned
warner bros discovery inc,,No data returned
pinterest inc,,No data returned
guangdong haid group co ltd,,No data returned
singapore telecommunications ltd,,No data returned
midea group co ltd,,No data returned
fubon financial holding co ltd,,No data returned
japan post holdings co ltd,,No data returned
fairfax financial holdings ltd,,No data returned
ventas inc,,No data returned
allstate corp/the,,No data returned
steel dynamics inc,,No data returned
robinhood markets inc,,No data returned
iqvia holdings inc,,No data returned
techtronic industries co ltd,,No data returned
daiwa house industry co ltd,,No data returned
legal & general group plc,,No data returned
koninklijke kpn nv,,No data returned
kraft heinz co/the,,No data returned
otsuka holdings co ltd,,No data returned
groupe bruxelles lambert nv,,No data returned
galaxy entertainment group ltd,,No data returned
telstra group ltd,,No data returned
keysight technologies inc,,No data returned
suncorp group ltd,,No data returned
first solar inc,,No data returned
bajaj finance ltd,,No data returned
church & dwight co inc,,No data returned
coloplast a/s,,No data returned
m&t bank corp,,No data returned
sun hung kai properties ltd,,No data returned
brown & brown inc,,No data returned
lincoln electric holdings inc,,No data returned
china life insurance co ltd,,No data returned
astellas pharma inc,,No data returned
ctbc financial holding co ltd,,No data returned
anta sports products ltd,,No data returned
netapp inc,,No data returned
martin marietta materials inc,,No data returned
emcor group inc,,No data returned
bank rakyat indonesia persero tbk pt,,No data returned
huntington bancshares inc/oh,,No data returned
picc property & casualty co ltd,,No data returned
xylem inc/ny,,No data returned
albertsons cos inc,,No data returned
brambles ltd,,No data returned
first citizens bancshares inc/nc,,No data returned
zomato ltd,,No data returned
akeso inc,,No data returned
chaozhou three-circle group co ltd,,No data returned
shenzhou international group holdings ltd,,No data returned
icici lombard general insurance co ltd,,No data returned
intra-cellular therapies inc,,No data returned
nvr inc,,No data returned
williams-sonoma inc,,No data returned
american water works co inc,,No data returned
illumina inc,,No data returned
raymond james financial inc,,No data returned
mitsubishi estate co ltd,,No data returned
west pharmaceutical services inc,,No data returned
cp all pcl,,No data returned
coca-cola consolidated inc,,No data returned
cathay financial holding co ltd,,No data returned
liberty media corp-liberty formula one,,No data returned
corebridge financial inc,,No data returned
luxshare precision industry co ltd,,No data returned
