company,ticker,error
allianz se,,Status 429
allstate corp/the,,Status 429
american financial group inc/oh,,Status 429
american international group inc,,Status 429
ameriprise financial inc,,Status 429
annaly capital management inc,,Status 429
anz group holdings ltd,,Status 429
aon plc,,Status 429
apollo global management inc,,Status 429
arch capital group ltd,,Status 429
ares management corp,,Status 429
arthur j gallagher & co,,Status 429
asr nederland nv,,Status 429
assurant inc,,Status 429
asx ltd,,Status 429
aviva plc,,Status 429
axa sa,,Status 429
axis bank ltd,,Status 429
axis capital holdings ltd,,Status 429
b3 sa - brasil bolsa balcao,,Status 429
bajaj finance ltd,,Status 429
bajaj finserv ltd,,Status 429
baloise holding ag,,Status 429
banca mediolanum spa,,Status 429
banca monte dei paschi di siena spa,,Status 429
banco bilbao vizcaya argentaria sa,,Status 429
banco bpm spa,,Status 429
banco bradesco sa,,Status 429
banco btg pactual sa,,Status 429
banco comercial portugues sa,,Status 429
banco de sabadell sa,,Status 429
banco do brasil sa,,Status 429
banco santander sa,,Status 429
bancolombia sa,,Status 429
bangkok bank pcl,,Status 429
bank central asia tbk pt,,Status 429
bank hapoalim bm,,Status 429
bank leumi le-israel bm,,Status 429
bank mandiri persero tbk pt,,Status 429
bank negara indonesia persero tbk pt,,Status 429
bank of america corp,,Status 429
bank of china ltd,,Status 429
bank of ireland group plc,,Status 429
bank of montreal,,Status 429
bank of new york mellon corp/the,,Status 429
bank of nova scotia/the,,Status 429
bank of the philippine islands,,Status 429
bank rakyat indonesia persero tbk pt,,Status 429
bankinter sa,,Status 429
barclays plc,,Status 429
bawag group ag,,Status 429
bb seguridade participacoes sa,,Status 429
beazley plc,,Status 429
berkshire hathaway inc,,Status 429
blackrock inc,,Status 429
blackstone inc,,Status 429
blue owl capital inc,,Status 429
bnp paribas sa,,Status 429
boc hong kong holdings ltd,,Status 429
bper banca spa,,Status 429
bridgepoint group plc,,Status 429
broadridge financial solutions inc,,Status 429
brookfield asset management ltd,,Status 429
brookfield corp,,Status 429
brown & brown inc,,Status 429
caixabank sa,,Status 429
canadian imperial bank of commerce,,Status 429
capitec bank holdings ltd,,Status 429
carlyle group inc/the,,Status 429
cathay financial holding co ltd,,Status 429
cboe global markets inc,,Status 429
cembra money bank ag,,Status 429
challenger ltd,,Status 429
charles schwab corp/the,,Status 429
china construction bank corp,,Status 429
china life insurance co ltd,,Status 429
china merchants bank co ltd,,Status 429
china pacific insurance group co ltd,,Status 429
cholamandalam investment and finance co ltd,,Status 429
chubb ltd,,Status 429
cimb group holdings bhd,,Status 429
cincinnati financial corp,,Status 429
citic securities co ltd,,Status 429
citigroup inc,,Status 429
citizens financial group inc,,Status 429
cme group inc,,Status 429
coinbase global inc,,Status 429
comerica inc,,Status 429
commerce bancshares inc/mo,,Status 429
commerzbank ag,,Status 429
commonwealth bank of australia,,Status 429
computershare ltd,,Status 429
concordia financial group ltd,,Status 429
corebridge financial inc,,Status 429
credicorp ltd,,Status 429
credit agricole sa,,Status 429
ctbc financial holding co ltd,,Status 429
dai-ichi life holdings inc,,Status 429
daiwa securities group inc,,Status 429
danske bank a/s,,Status 429
dbs group holdings ltd,,Status 429
deutsche bank ag,,Status 429
deutsche boerse ag,,Status 429
deutsche pfandbriefbank ag,,Status 429
direct line insurance group plc,,Status 429
discover financial services,,Status 429
e.sun financial holding co ltd,,Status 429
east west bancorp inc,,Status 429
emirates nbd bank pjsc,,Status 429
eqt ab,,Status 429
equitable holdings inc,,Status 429
erste group bank ag,,Status 429
eurobank ergasias services and holdings sa,,Status 429
euronext nv,,Status 429
evercore inc,,Status 429
everest group ltd,,Status 429
exor nv,,Status 429
fairfax financial holdings ltd,,Status 429
fidelity national financial inc,,Status 429
fifth third bancorp,,Status 429
finecobank banca fineco spa,,Status 429
first abu dhabi bank pjsc,,Status 429
first citizens bancshares inc/nc,,Status 429
first financial holding co ltd,,Status 429
first horizon corp,,Status 429
firstrand ltd,,Status 429
franklin resources inc,,Status 429
fubon financial holding co ltd,,Status 429
generali,,Status 429
globe life inc,,Status 429
goldman sachs group inc/the,,Status 429
great-west lifeco inc,,Status 429
groupe bruxelles lambert nv,,Status 429
grupo financiero banorte sab de cv,,Status 429
gulf bank kscp,,Status 429
hana financial group inc,,Status 429
hannover rueck se,,Status 429
hargreaves lansdown plc,,Status 429
hartford financial services group inc/the,,Status 429
hdfc asset management co ltd,,Status 429
hdfc bank ltd,,Status 429
hdfc life insurance co ltd,,Status 429
helvetia holding ag,,Status 429
hiscox ltd,,Status 429
hong kong exchanges & clearing ltd,,Status 429
houlihan lokey inc,,Status 429
hsbc holdings plc,,Status 429
hua nan financial holdings co ltd,,Status 429
huntington bancshares inc/oh,,Status 429
ia financial corp inc,,Status 429
icici bank ltd,,Status 429
icici lombard general insurance co ltd,,Status 429
icici prudential life insurance co ltd,,Status 429
ig group holdings plc,,Status 429
indusind bank ltd,,Status 429
industrial & commercial bank of china ltd,,Status 429
industrivarden ab,,Status 429
ing groep nv,,Status 429
insurance australia group ltd,,Status 429
intact financial corp,,Status 429
integrafin holdings plc,,Status 429
interactive brokers group inc,,Status 429
intercontinental exchange inc,,Status 429
intermediate capital group plc,,Status 429
intesa sanpaolo spa,,Status 429
invesco ltd,,Status 429
investec plc,,Status 429
investor ab,,Status 429
itau unibanco holding sa,,Status 429
itausa sa,,Status 429
jackson financial inc,,Status 429
janus henderson group plc,,Status 429
japan exchange group inc,,Status 429
japan post bank co ltd,,Status 429
japan post holdings co ltd,,Status 429
jefferies financial group inc,,Status 429
jio financial services ltd,,Status 429
jpmorgan chase & co,,Status 429
julius baer group ltd,,Status 429
jyske bank a/s,,Status 429
kasikornbank pcl,,Status 429
kb financial group inc,,Status 429
kbc group nv,,Status 429
keycorp,,Status 429
kgi financial holding co ltd,,Status 429
kinnevik ab,,Status 429
kinsale capital group inc,,Status 429
kkr & co inc,,Status 429
kotak mahindra bank ltd,,Status 429
legal & general group plc,,Status 429
lic housing finance ltd,,Status 429
lloyds banking group plc,,Status 429
loews corp,,Status 429
london stock exchange group plc,,Status 429
lpl financial holdings inc,,Status 429
m&g plc,,Status 429
m&t bank corp,,Status 429
macquarie group ltd,,Status 429
malayan banking bhd,,Status 429
man group plc/jersey,,Status 429
manulife financial corp,,Status 429
mapfre sa,,Status 429
markel group inc,,Status 429
marketaxess holdings inc,,Status 429
marsh & mclennan cos inc,,Status 429
medibank pvt ltd,,Status 429
mediobanca banca di credito finanziario spa,,Status 429
mega financial holding co ltd,,Status 429
meritz financial group inc,,Status 429
metlife inc,,Status 429
mgic investment corp,,Status 429
mitsubishi hc capital inc,,Status 429
mitsubishi ufj financial group inc,,Status 429
mizuho financial group inc,,Status 429
momentum group ltd,,Status 429
moody's corp,,Status 429
morgan stanley,,Status 429
morningstar inc,,Status 429
ms&ad insurance group holdings inc,,Status 429
msci inc,,Status 429
muenchener rueckversicherungs-gesellschaft ag in muenchen,,Status 429
multi commodity exchange of india ltd,,Status 429
muthoot finance ltd,,Status 429
nasdaq inc,,Status 429
national australia bank ltd,,Status 429
national bank of canada,,Status 429
national bank of kuwait sakp,,Status 429
natwest group plc,,Status 429
nn group nv,,Status 429
nomura holdings inc,,Status 429
nordea bank abp,,Status 429
nordnet ab publ,,Status 429
nu holdings ltd/cayman islands,,Status 429
old republic international corp,,Status 429
orix corp,,Status 429
otp bank nyrt,,Status 429
oversea-chinese banking corp ltd,,Status 429
partners group holding ag,,Status 429
pb fintech ltd,,Status 429
pensionbee group plc,,Status 429
phoenix group holdings plc,,Status 429
picc property & casualty co ltd,,Status 429
ping an insurance group co of china ltd,,Status 429
pinnacle financial partners inc,,Status 429
piraeus financial holdings sa,,Status 429
pnc financial services group inc/the,,Status 429
poste italiane spa,,Status 429
power corp of canada,,Status 429
power finance corp ltd,,Status 429
powszechna kasa oszczednosci bank polski sa,,Status 429
principal financial group inc,,Status 429
progressive corp/the,,Status 429
prudential financial inc,,Status 429
prudential plc,,Status 429
public bank bhd,,Status 429
qatar national bank qpsc,,Status 429
qbe insurance group ltd,,Status 429
quilter plc,,Status 429
rakuten bank ltd,,Status 429
raymond james financial inc,,Status 429
rec ltd,,Status 429
regions financial corp,,Status 429
reinsurance group of america inc,,Status 429
renaissancere holdings ltd,,Status 429
resona holdings inc,,Status 429
ringkjoebing landbobank a/s,,Status 429
robinhood markets inc,,Status 429
royal bank of canada,,Status 429
s&p global inc,,Status 429
sampo oyj,,Status 429
samsung fire & marine insurance co ltd,,Status 429
sanlam ltd,,Status 429
sbi holdings inc,,Status 429
sbi life insurance co ltd,,Status 429
schroders plc,,Status 429
scor se,,Status 429
selective insurance group inc,,Status 429
shin kong financial holding co ltd,,Status 429
shinhan financial group co ltd,,Status 429
shriram finance ltd,,Status 429
singapore exchange ltd,,Status 429
sinopac financial holdings co ltd,,Status 429
sk square co ltd,,Status 429
skandinaviska enskilda banken ab,,Status 429
societe generale sa,,Status 429
sofi technologies inc,,Status 429
sofina sa,,Status 429
sompo holdings inc,,Status 429
sprott inc,,Status 429
srisawad corp pcl,,Status 429
st james's place plc,,Status 429
standard bank group ltd,,Status 429
standard chartered plc,,Status 429
state bank of india,,Status 429
state street corp,,Status 429
steadfast group ltd,,Status 429
stifel financial corp,,Status 429
sumitomo mitsui financial group inc,,Status 429
sumitomo mitsui trust group inc,,Status 429
sun life financial inc,,Status 429
suncorp group ltd,,Status 429
svenska handelsbanken ab,,Status 429
swedbank ab,,Status 429
swiss life holding ag,,Status 429
swiss re ag,,Status 429
swissquote group holding sa,,Status 429
sydbank as,,Status 429
t rowe price group inc,,Status 429
t&d holdings inc,,Status 429
taiwan cooperative financial holding co ltd,,Status 429
talanx ag,,Status 429
thomson reuters corp,,Status 429
tmx group ltd,,Status 429
tokio marine holdings inc,,Status 429
toronto-dominion bank/the,,Status 429
tpg inc,,Status 429
tradeweb markets inc,,Status 429
travelers cos inc/the,,Status 429
truist financial corp,,Status 429
tryg a/s,,Status 429
turkiye garanti bankasi as,,Status 429
ubs group ag,,Status 429
unicaja banco sa,,Status 429
unicredit spa,,Status 429
unipol gruppo spa,,Status 429
united overseas bank ltd,,Status 429
unum group,,Status 429
us bancorp,,Status 429
voya financial inc,,Status 429
w r berkley corp,,Status 429
webster financial corp,,Status 429
wells fargo & co,,Status 429
western alliance bancorp,,Status 429
westpac banking corp,,Status 429
willis towers watson plc,,Status 429
wintrust financial corp,,Status 429
xp inc,,Status 429
yuanta financial holding co ltd,,Status 429
zurich insurance group ag,,Status 429
abbott laboratories,,Status 429
abbvie inc,,Status 429
acadia pharmaceuticals inc,,Status 429
agilent technologies inc,,Status 429
akeso inc,,Status 429
alcon ag,,Status 429
align technology inc,,Status 429
alkem laboratories ltd,,Status 429
alnylam pharmaceuticals inc,,Status 429
alteogen inc,,Status 429
amedisys inc,,Status 429
amgen inc,,Status 429
apollo hospitals enterprise ltd,,Status 429
argenx se,,Status 429
astellas pharma inc,,Status 429
astrazeneca plc,,Status 429
avantor inc,,Status 429
baxter international inc,,Status 429
bayer ag,,Status 429
becton dickinson & co,,Status 429
beigene ltd,,Status 429
bio-techne corp,,Status 429
biogen inc,,Status 429
biomarin pharmaceutical inc,,Status 429
biomerieux,,Status 429
boston scientific corp,,Status 429
bristol-myers squibb co,,Status 429
bumrungrad hospital pcl,,Status 429
cardinal health inc,,Status 429
celltrion inc,,Status 429
centene corp,,Status 429
charles river laboratories international inc,,Status 429
chemed corp,,Status 429
chugai pharmaceutical co ltd,,Status 429
cigna group/the,,Status 429
cipla ltd/india,,Status 429
cochlear ltd,,Status 429
coloplast a/s,,Status 429
convatec group plc,,Status 429
cooper cos inc/the,,Status 429
csl ltd,,Status 429
daiichi sankyo co ltd,,Status 429
danaher corp,,Status 429
denali therapeutics inc,,Status 429
dentsply sirona inc,,Status 429
dexcom inc,,Status 429
diasorin spa,,Status 429
divi's laboratories ltd,,Status 429
dr reddy's laboratories ltd,,Status 429
edwards lifesciences corp,,Status 429
eisai co ltd,,Status 429
elevance health inc,,Status 429
eli lilly & co,,Status 429
encompass health corp,,Status 429
ensign group inc/the,,Status 429
essilorluxottica sa,,Status 429
eurofins scientific se,,Status 429
exelixis inc,,Status 429
fisher & paykel healthcare corp ltd,,Status 429
fresenius medical care ag,,Status 429
fresenius se & co kgaa,,Status 429
galderma group ag,,Status 429
ge healthcare technologies inc,,Status 429
genmab a/s,,Status 429
getinge ab,,Status 429
gilead sciences inc,,Status 429
glaukos corp,,Status 429
glenmark pharmaceuticals ltd,,Status 429
global health ltd/india,,Status 429
globus medical inc,,Status 429
gsk plc,,Status 429
haleon plc,,Status 429
hca healthcare inc,,Status 429
healthequity inc,,Status 429
henry schein inc,,Status 429
hologic inc,,Status 429
hoya corp,,Status 429
humana inc,,Status 429
icon plc,,Status 429
idexx laboratories inc,,Status 429
illumina inc,,Status 429
incyte corp,,Status 429
innovent biologics inc,,Status 429
insmed inc,,Status 429
insulet corp,,Status 429
intra-cellular therapies inc,,Status 429
intuitive surgical inc,,Status 429
inventurus knowledge solutions ltd,,Status 429
ipsen sa,,Status 429
iqvia holdings inc,,Status 429
jiangsu hengrui pharmaceuticals co ltd,,Status 429
johnson & johnson,,Status 429
koninklijke philips nv,,Status 429
labcorp holdings inc,,Status 429
lonza group ag,,Status 429
lupin ltd,,Status 429
mankind pharma ltd,,Status 429
max healthcare institute ltd,,Status 429
medtronic plc,,Status 429
merck & co inc,,Status 429
merck kgaa,,Status 429
moderna inc,,Status 429
molina healthcare inc,,Status 429
natera inc,,Status 429
neogen corp,,Status 429
neurocrine biosciences inc,,Status 429
novartis ag,,Status 429
novo nordisk a/s,,Status 429
novonesis (novozymes) b,,Status 429
olympus corp,,Status 429
orion oyj,,Status 429
otsuka holdings co ltd,,Status 429
perrigo co plc,,Status 429
pfizer inc,,Status 429
pro medicus ltd,,Status 429
qiagen nv,,Status 429
quest diagnostics inc,,Status 429
ramsay health care ltd,,Status 429
regeneron pharmaceuticals inc,,Status 429
resmed inc,,Status 429
revolution medicines inc,,Status 429
revvity inc,,Status 429
roche holding ag,,Status 429
roivant sciences ltd,,Status 429
royalty pharma plc,,Status 429
samsung biologics co ltd,,Status 429
sandoz group ag,,Status 429
sanofi sa,,Status 429
sarepta therapeutics inc,,Status 429
sartorius ag,,Status 429
scholar rock holding corp,,Status 429
sectra ab,,Status 429
shandong weigao group medical polymer co ltd,,Status 429
shionogi & co ltd,,Status 429
siegfried holding ag,,Status 429
siemens healthineers ag,,Status 429
smith & nephew plc,,Status 429
solventum corp,,Status 429
sonic healthcare ltd,,Status 429
sonova holding ag,,Status 429
steris plc,,Status 429
straumann holding ag,,Status 429
stryker corp,,Status 429
